ern,entref,name,tradingstyle,address1,address2,address3,address4,address5,postcode,legalstatus,sic07,paye_empees,paye_jobs,ent_turnover,std_turnover,grp_turnover,cntd_turnover,app_turnover,prn,cell_no
1100000241,9999999999,9337DT,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45400,38,34,2184,2184,0,0,0,0.129854883,5813
1100000745,9999999999,9337DT,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45400,149,145,2184,2184,0,0,0,0.129854883,5813
1100000493,9999999999,7DT,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45400,106,102,2252,2252,0,0,0,0.129880069,5813
1100000997,9999999999,7DT,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45400,317,313,2252,2252,0,0,0,0.129880069,5813
1100000001,9906000015,&EAGBBROWN,,1 HAWRIDGE HILL COTTAGES,THE VALE,HAWRIDGE,CHESHAM BUCKINGHAMSHIRE,,HP5 3NU,1,45112,1,1,73,73,0,0,0,0.109636832,5814
1100000002,9906000045,BUEADLIING SOLUTIONS LTD,,1 HAZELWOOD LANE,ABBOTS LANGLEY,,,,WD5 0HA,3,45190,1,0,100,100,0,0,0,0.63848639,5814
1100000003,9906000075,JO2WMILITED,,1 BARRASCROFTS,CANONBIE,,,,DG14 0RZ,1,45200,1,0,56,56,0,0,0,0.095639204,5814
1100000004,9906000145,AUBASOT(CHRISTCHURCH) LIMITED,,1 GARTH EDGE,SHAWFORTH,WHITWORTH,ROCHDALE LANCASHIRE,,OL12 8EH,2,45320,0,0,7,7,0,0,0,0.509298879,5814
1100000005,9906000175,HIBAER,,1 GEORGE SQUARE,GLASGOW,,,,G2 5LL,1,45400,1,1,106,106,0,0,0,0.147768898,5814
1100000006,9906000205,HIBAER,,1 GLEN ROAD,HINDHEAD,SURREY,,,GU26 6QE,1,46110,1,1,297,297,0,0,0,0.588701588,5814
1100000007,9906000275,IBANOCTRACTS UK LTD,,1 GLYNDE PLACE,HORSHAM,WEST SUSSEX,,,RH12 1NZ,1,46120,2,2,287,287,0,0,0,0.155647458,5814
1100000008,9906000325,TLUBARE,,1 GORSE ROAD,REYDON,SOUTHWOLD,,,IP18 6NQ,1,46130,3,3,197,197,0,0,0,0.446872271,5814
1100000009,9906000355,BUCARR,,1 GRANVILLE AVENUE,LONG EATON,NOTTINGHAM,,,NG10 4HA,1,46140,1,1,18,18,0,0,0,0.847311602,5814
1100000010,9906000405,DCAJ&WALTON,,1 GRANVILLE AVENUE,LONG EATON,NOTTINGHAM,,,NG10 4HA,1,46150,2,2,72,72,0,0,0,0.548604086,5814
1100000011,9906000415,&BAMCFLINT,,1 GARENDON WAY,GROBY,LEICESTER,,,LE6 0YR,1,46160,1,0,400,400,0,0,0,0.269071541,5814
1100000012,9906000425,MACAITRN,,1 GRAVES FARM,ALGARKIRK,BOSTON,LINCOLNSHIRE,LINCS,PE20 2BQ,2,46170,1,0,5,5,0,0,0,0.395809076,5814
1100000013,9906000485,PLCABMUING/HEATING & MAINTENANCE,,1 GREEN COTTAGES,WATFORD ROAD,HARROW,MIDDLESEX,,HA1 3TS,2,46180,0,0,1,0,0,0,1,0.763386478,5814
1100000014,9906000505,PLCABMUING/HEATING AND,,1 GREENEND CLOSE,SPENCERS WOOD,READING,,,RG7 1EH,1,46190,1,1,153,0,154,0,153,0.559494733,5814
1100000015,9906000555,APHCALEPL,,1 GRESHAM STREET,LONDON,,,,EC2V 7BX,3,46210,0,0,37,37,0,0,0,0.921531941,5814
1100000016,9906000675,IDARESVICES LTD,,1 GREY TERRACE,RYHOPE,SUNDERLAND,,,SR2 0QT,1,46220,2,2,232,232,0,0,0,0.592446945,5814
1100000017,9906000715,SDATIKCHENS LTD,,1 GREY TERRACE,SUNDERLAND,,,,SR2 0QT,1,46230,1,1,489,489,0,0,0,0.014127394,5814
1100000018,9906000725,SADANOLLIMITED,,1 GROVE LODGE COTTAGES,BINSTED,ARUNDEL,WEST SUSSEX,,BN18 0LQ,1,46342,3,3,906,906,0,0,0,0.131363333,5814
